Date,CreativeID,Impressions,Clicks,VideoStarts,VideoCompletions,OperatingSystem,DayofWeek,Site,SiteCategory,CreativeName,MediaFormat,CreativeCategory,CreativeFormat,ClickThroughRate,VideoCompletionRate,VideoStartRate
26/04/2018,692,50,0,10,4,Android,4,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,40.0,20.0
26/04/2018,692,9,0,3,2,Android,4,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,66.66666666666666,33.33333333333333
26/04/2018,692,124,0,56,26,iOS,4,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,46.42857142857143,45.16129032258064
26/04/2018,692,58,0,34,15,iOS,4,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,44.11764705882353,58.620689655172406
26/04/2018,692,2,0,0,0,Other,4,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
26/04/2018,692,202,0,92,50,Android,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,54.347826086956516,45.54455445544555
26/04/2018,692,136,0,75,32,iOS,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,42.66666666666667,55.14705882352941
26/04/2018,692,2,0,0,0,iOS,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
26/04/2018,692,8,0,1,0,Other,4,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,12.5
26/04/2018,692,1,0,0,0,Android,4,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
26/04/2018,692,2,0,1,0,iOS,4,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,50.0
26/04/2018,692,2,0,1,1,iOS,4,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,50.0
27/04/2018,692,376,2,80,30,Android,5,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.5319148936170213,37.5,21.27659574468085
27/04/2018,692,273,2,91,17,Android,5,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.7326007326007326,18.681318681318682,33.33333333333333
27/04/2018,692,482,5,218,105,iOS,5,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.0373443983402488,48.1651376146789,45.22821576763486
27/04/2018,692,148,1,94,32,iOS,5,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.6756756756756757,34.04255319148936,63.51351351351351
27/04/2018,692,8,0,0,0,Other,5,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
27/04/2018,692,84,0,12,4,Android,5,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,33.33333333333333,14.285714285714285
27/04/2018,692,1,0,0,0,Android,5,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
27/04/2018,692,136,9,77,52,Other,5,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,6.61764705882353,67.53246753246754,56.61764705882353
27/04/2018,692,251,2,119,43,iOS,5,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.796812749003984,36.134453781512605,47.410358565737056
27/04/2018,692,7,1,3,1,iOS,5,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,14.285714285714285,33.33333333333333,42.857142857142854
27/04/2018,692,1,0,0,0,Other,5,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
27/04/2018,692,1,0,1,1,Android,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,100.0
27/04/2018,692,946,4,451,230,Android,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.42283298097251587,50.99778270509978,47.674418604651166
27/04/2018,692,2,0,0,0,Other,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
27/04/2018,692,515,3,285,102,iOS,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.5825242718446602,35.78947368421053,55.33980582524271
27/04/2018,692,21,0,7,0,Other,5,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,33.33333333333333
27/04/2018,692,2,0,2,1,Android,5,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,50.0,100.0
27/04/2018,692,10,0,5,3,Android,5,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,60.0,50.0
27/04/2018,692,13,0,2,1,iOS,5,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,50.0,15.384615384615385
27/04/2018,692,30,0,17,12,iOS,5,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,70.58823529411765,56.666666666666664
28/04/2018,692,437,2,61,19,Android,6,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.4576659038901602,31.147540983606557,13.958810068649885
28/04/2018,692,261,4,75,8,Android,6,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.532567049808429,10.666666666666668,28.735632183908045
28/04/2018,692,256,3,121,55,iOS,6,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.171875,45.45454545454545,47.265625
28/04/2018,692,114,2,69,32,iOS,6,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.7543859649122806,46.3768115942029,60.526315789473685
28/04/2018,692,5,0,0,0,Other,6,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
28/04/2018,692,4,0,1,0,Other,6,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,25.0
28/04/2018,692,152,0,29,12,Android,6,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,41.37931034482759,19.078947368421055
28/04/2018,692,7,0,0,0,Android,6,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
28/04/2018,692,192,11,101,63,Other,6,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,5.729166666666666,62.37623762376238,52.604166666666664
28/04/2018,692,1535,11,831,338,iOS,6,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.7166123778501629,40.67388688327316,54.13680781758957
28/04/2018,692,2,0,0,0,iOS,6,RockTunes,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
28/04/2018,692,1,0,1,0,Other,6,MusicRoom,Entertainment,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,100.0
28/04/2018,692,399,2,188,102,Android,6,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.5012531328320802,54.25531914893617,47.11779448621554
28/04/2018,692,1,0,1,1,Other,6,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,100.0
28/04/2018,692,346,4,186,88,iOS,6,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,1.1560693641618496,47.31182795698925,53.75722543352601
28/04/2018,692,7,0,1,0,Other,6,Business Times,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,14.285714285714285
28/04/2018,692,3,0,1,0,Android,6,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,33.33333333333333
28/04/2018,692,16,0,3,3,Android,6,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,100.0,18.75
28/04/2018,692,58,0,20,5,iOS,6,The ClothesRack,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,25.0,34.48275862068966
28/04/2018,692,59,0,28,18,iOS,6,Sitting Pretty,Lifestyle,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,64.28571428571429,47.45762711864407
29/04/2018,692,363,1,72,27,Android,7,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.27548209366391185,37.5,19.834710743801654
29/04/2018,692,309,2,73,13,Android,7,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.6472491909385114,17.80821917808219,23.624595469255663
29/04/2018,692,316,0,127,63,iOS,7,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,49.60629921259843,40.189873417721515
29/04/2018,692,89,0,51,23,iOS,7,The City Daily,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,45.09803921568628,57.30337078651685
29/04/2018,692,1,0,1,0,Other,7,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,0.0,100.0
29/04/2018,692,2,0,0,0,Other,7,Progressive News,News,Artful Dodger,Vertical Video,Art,Mobile Interscroller,0.0,,0.0
